Moniker,Address,Total,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
<your-node-moniker>,laconic17rzfujtx66ewy3l645ynj7hpc74aux9jhl8ur8,2235,400,90,12,35,60,60,54,60,60,0,50,0,600,754,0,0,0,0,0,0
KenZ,laconic16v0lazxvmccs0893g58fqa65m6344dlcpxrvs0,2181,400,0,20,50,60,60,60,60,60,3,50,300,600,458,0,0,0,0,0,0
dragonZ,laconic1f7tursd29yrk3mnys3javqngraj5ls7k5h3vvv,2178,400,40,16,50,60,60,42,60,60,0,50,300,600,440,0,0,0,0,0,0
Rysiman,laconic1gqzpr9k22navgzreyfsze32p03mjz0j6evjuj0,1786,400,70,12,45,60,60,24,60,60,3,50,0,600,342,0,0,0,0,0,0
SilverSurfer,laconic1xhaypaj6w2etkxkdaxvkurkrvhghq7upzs50vj,1521,400,0,8,15,60,6,6,60,60,0,20,0,600,286,0,0,0,0,0,0
laconicbarg01,laconic1mjzrgc8ucspjz98g76c8pce026l5newrujetx0,1514,400,30,40,15,60,30,27,60,60,0,50,0,600,142,0,0,0,0,0,0
Nodeify,laconic18uc9h349nd0w62vnleu8ywu3sur7ly0kdsgmg3,1507,400,0,40,50,60,33,24,60,60,0,50,0,600,130,0,0,0,0,0,0
stake-machine,laconic195fw5924wajlg4u54m7y9z52dv906qhqtaayrs,1505,400,60,8,40,60,45,30,60,60,0,50,0,600,92,0,0,0,0,0,0
silent,laconic1256aqyag45x84usd6xj053musfcql74j4j3ll3,1499,400,0,8,10,60,18,9,60,60,0,20,0,600,254,0,0,0,0,0,0
hamzak,laconic1ylkv9ymdacumhnr6f7xdhrcvn7vxmgk4qk6adh,1499,400,0,8,20,60,9,6,60,60,0,20,0,600,256,0,0,0,0,0,0
DreamGallery,laconic1f9j8n9rqsekzp0rffe3298pytms4hfz20khge3,1487,400,0,8,5,60,12,6,60,60,0,20,0,600,256,0,0,0,0,0,0
Villarael,laconic1s8fqsj548sr86n4mwmdahyzyduxf5f9tkav9e7,1479,400,0,8,15,60,6,6,60,60,0,20,0,600,244,0,0,0,0,0,0
Mekong_Labs,laconic195s2w429xuxqagkz54n55dcpfz4nwl0k62qnet,1469,400,0,40,25,60,60,60,60,60,60,20,0,600,24,0,0,0,0,0,0
Gonzales,laconic15twrppy7udkzd5vnd5cxghe0stddrs0ndd4mv0,1447,400,0,8,15,60,6,6,60,60,0,20,0,600,212,0,0,0,0,0,0
AndreasV,laconic1wrwl5557yxgqkwq4djlrz33x5nd5f0j9vh42jg,1432,400,0,12,20,60,6,6,60,60,0,50,0,600,158,0,0,0,0,0,0
