Moniker,Address,Total,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
-,laconic1vfs90x57ufs87tn9h6zs3xylnzh97f03qy0ggz,793,0,0,4,15,60,6,3,60,15,0,10,0,600,20,0,0,0,0,0,0
-,laconic1ljwtpta6xfgtnk0e03h4t77chjygv399pr6utz,763,0,0,4,10,45,3,3,60,12,0,10,0,600,16,0,0,0,0,0,0
-,laconic1axg567nvu92un33z6z547n7klkeq6ud37pwz35,743,0,0,4,5,45,36,12,9,6,0,20,0,600,6,0,0,0,0,0,0
-,laconic15t9kahzjza50772k7s2j78f0ptndqfwvfgrgq9,180,0,0,24,10,33,18,15,60,0,0,20,0,0,0,0,0,0,0,0,0
-,laconic1j7mrlxech8qad2whzal6te73m4rsh59uwg0pdt,172,0,0,40,35,36,36,15,0,0,0,10,0,0,0,0,0,0,0,0,0
-,laconic1yfv4v439ykjzjfrc9363an579k2tkdnwkv34jg,156,0,0,28,20,30,30,12,3,3,0,30,0,0,0,0,0,0,0,0,0
-,laconic1dx3jyjfpcwdwufj5uuufk84f5ugm5h4wf3jsl2,150,0,0,4,20,27,15,9,45,0,0,30,0,0,0,0,0,0,0,0,0
-,laconic1qsvrehuchjquanwm7gsx7cvze8t959l7zf0zpw,106,0,0,40,5,12,33,6,0,0,0,10,0,0,0,0,0,0,0,0,0
-,laconic1vwyxdndfv6e3gw0m9w06xah2m3x6qhznn9ypjx,88,0,0,4,30,9,12,3,0,0,0,30,0,0,0,0,0,0,0,0,0
-,laconic1yavpc0fjk3ze33kfuuc5fra5x3nzs20ajhpef5,74,0,0,40,10,15,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0
-,laconic18mrkvn2au2d7kawpdjdazn3l3lla4jv9jdfmdf,73,0,0,40,30,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-,laconic1ff55lvklhd2y3p56c70gkyjjdxr5srnyrtj253,61,0,0,16,5,12,12,6,0,0,0,10,0,0,0,0,0,0,0,0,0
-,laconic1xwwy9944lgu3djvgmk4l4x59x5cjzczcxuj9f5,60,0,0,40,5,0,12,3,0,0,0,0,0,0,0,0,0,0,0,0,0
-,laconic1w78xscjjjp4ygm7y0tkz5frqrhks5gw9r7hqqu,39,0,0,4,10,9,3,3,0,0,0,10,0,0,0,0,0,0,0,0,0
-,laconic10mrtxypx3rzamn46xezsjtfwat3yyjp9kyaf9t,38,0,0,8,5,9,3,3,0,0,0,10,0,0,0,0,0,0,0,0,0
-,laconic14dzwrzdfgln6z2vuu0jncvwjt2l7e4yl7slmjq,38,0,0,8,5,9,3,3,0,0,0,10,0,0,0,0,0,0,0,0,0
-,laconic1l70nl4xswhdv4vxfemnrqmpee8kzavst7w4k7a,34,0,0,4,5,9,3,3,0,0,0,10,0,0,0,0,0,0,0,0,0
-,laconic18uc9h349nd0w62vnleu8ywu3sur7ly0kdsgmg3,24,0,0,4,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-,laconic18cd03t0zvaxuv5vz0tdyyxctw5jffrj7mggk6n,14,0,0,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-,laconic19w5x0ck6tlppcwn7hg2ww7kuhycsjw37fpwur9,9,0,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-,laconic1pepnj5z8nzd7c27trg56wt2p9yzya2g9paen39,9,0,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-,laconic1p87hvu9szlc5ek4ggrk0yr9wfd9503h2z8j0f6,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-,laconic1krddttfs6qnrjxnaza85jnpnlx6jn2w0l2qha2,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
