Moniker,Address,Total,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
-,laconic17rzfujtx66ewy3l645ynj7hpc74aux9jhl8ur8,1377,0,0,8,30,60,60,45,60,60,0,50,0,600,404,0,0,0,0,0,0
-,laconic16v0lazxvmccs0893g58fqa65m6344dlcpxrvs0,1352,0,0,4,50,60,57,51,60,60,0,50,0,600,360,0,0,0,0,0,0
-,laconic1f7tursd29yrk3mnys3javqngraj5ls7k5h3vvv,1302,0,0,4,50,60,48,30,60,60,0,50,0,600,340,0,0,0,0,0,0
-,laconic1gqzpr9k22navgzreyfsze32p03mjz0j6evjuj0,1226,0,0,8,40,60,42,18,60,60,0,50,0,600,288,0,0,0,0,0,0
-,laconic1f9j8n9rqsekzp0rffe3298pytms4hfz20khge3,1109,0,0,4,5,60,12,6,60,60,0,50,0,600,252,0,0,0,0,0,0
-,laconic1rs2s2wz2mgtur3fsu9wlnmsf0zvrcm63cmqmsg,1065,0,0,40,50,60,33,24,60,60,0,50,0,600,88,0,0,0,0,0,0
-,laconic1mjzrgc8ucspjz98g76c8pce026l5newrujetx0,1055,0,0,40,10,60,27,24,60,60,0,50,0,600,124,0,0,0,0,0,0
-,laconic1256aqyag45x84usd6xj053musfcql74j4j3ll3,1052,0,0,4,5,60,15,6,60,60,0,50,0,600,192,0,0,0,0,0,0
-,laconic1s8fqsj548sr86n4mwmdahyzyduxf5f9tkav9e7,1026,0,0,4,10,60,3,3,60,60,0,50,0,600,176,0,0,0,0,0,0
-,laconic1ylkv9ymdacumhnr6f7xdhrcvn7vxmgk4qk6adh,1026,0,0,4,15,60,6,3,60,60,0,50,0,600,168,0,0,0,0,0,0
-,laconic1zmzezvhlkhccvvej2sekvhyqseh6vhhqldeahm,1023,0,0,4,15,60,3,3,60,60,0,50,0,600,168,0,0,0,0,0,0
-,laconic15twrppy7udkzd5vnd5cxghe0stddrs0ndd4mv0,1014,0,0,4,10,60,3,3,60,60,0,50,0,600,164,0,0,0,0,0,0
-,laconic1jyvf988g3mgelqw3snw5ukjgvewfkvrfq24tdz,1008,0,0,4,5,60,30,27,60,60,0,50,0,600,112,0,0,0,0,0,0
-,laconic195fw5924wajlg4u54m7y9z52dv906qhqtaayrs,1005,0,0,4,35,60,39,24,60,57,0,50,0,600,76,0,0,0,0,0,0
