Moniker,Address,Total,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
MarkCN,laconic1f9zsthuj8xywft0f6ukk92pa8t2sremyczcwk3,1374,400,0,36,50,40,4,4,40,40,0,20,0,600,140,0,0,0,0,0,0,0
UtherSunlighter,laconic1zmzezvhlkhccvvej2sekvhyqseh6vhhqldeahm,1371,400,0,20,35,40,4,4,40,40,0,20,0,600,168,0,0,0,0,0,0,0
MattWhew,laconic13t5gzchl0x3vg28nff7h2f5myvdgxjnn67khmr,1325,400,0,32,45,40,8,6,40,40,0,40,0,600,74,0,0,0,0,0,0,0
High Stakes 🇨,laconic1vy8tnar3w7zxusnwhp5jdzw97rusr2d6n8ch5c,1322,400,0,8,20,40,40,34,14,2,2,50,0,600,2,60,50,0,0,0,0,0
StarkNode,laconic164ec25vwgln6fsmmerpazx5mwtxxvsmfegxdch,1321,400,40,40,35,40,6,4,40,22,0,40,0,600,44,10,0,0,0,0,0,0
Elf,laconic1ka6xtcejersljsmslc6tw9uxvfmans476v98r0,1283,400,0,24,15,40,12,10,40,40,0,10,0,600,92,0,0,0,0,0,0,0
twelly8,laconic1ljwtpta6xfgtnk0e03h4t77chjygv399pr6utz,1272,400,0,40,50,40,4,4,40,40,0,20,0,600,24,10,0,0,0,0,0,0
Quitlantarah,laconic1vfs90x57ufs87tn9h6zs3xylnzh97f03qy0ggz,1262,400,0,32,50,40,6,4,40,40,0,20,0,600,30,0,0,0,0,0,0,0
DevinHPBR,laconic15n9e0ffypdd80eayekzj5a7zr0c0ptj6efs88e,1205,400,0,8,25,40,4,4,40,18,0,20,0,600,36,10,0,0,0,0,0,0
vinfast,laconic172y0ymstezaqm9n74x42ggskzdwafxdrxhmkfl,772,400,0,40,50,40,40,40,2,40,40,0,0,0,0,80,0,0,0,0,0,0
Swiss Staking,laconic1qw26grwct7xtjdrlseurh9v6g8wu2x3vded63g,702,400,0,40,50,40,40,40,40,2,0,50,0,0,0,0,0,0,0,0,0,0
haihongtran,laconic16p3h7ryd65928e6gp4uexw90s8qz5zzprmssk3,700,400,0,40,50,40,40,40,0,0,40,50,0,0,0,0,0,0,0,0,0,0
StakingCabin,laconic1jcn78f87emzjwgw67y994zmxvytxfm83ulyw8y,666,400,0,40,50,40,26,20,20,20,20,0,0,0,0,30,0,0,0,0,0,0
onepercent-tech,laconic1yfv4v439ykjzjfrc9363an579k2tkdnwkv34jg,666,400,0,40,30,40,40,34,20,2,0,50,0,0,0,10,0,0,0,0,0,0
Simply,laconic17kr7z80p57cptj22gwpnxx9r6zg6re5zkqw8rz,624,400,0,40,50,0,0,40,2,0,12,0,0,0,0,80,0,0,0,0,0,0
CosmosSpaces,laconic1qsvrehuchjquanwm7gsx7cvze8t959l7zf0zpw,620,400,0,40,10,40,40,40,0,0,0,40,0,0,0,10,0,0,0,0,0,0
BVS.Network,laconic1s0xx6djln8f759aqx6drragy9fugxgsyrfvknf,618,400,0,40,50,0,0,40,0,0,8,0,0,0,0,80,0,0,0,0,0,0
BangKong,laconic18cd03t0zvaxuv5vz0tdyyxctw5jffrj7mggk6n,612,400,0,40,20,40,24,18,0,0,0,50,0,0,0,20,0,0,0,0,0,0
zebra,laconic10a36eugqfeyg7tk3yjae2m32q29rqygw5lv99u,610,400,0,40,50,0,0,40,0,0,0,0,0,0,0,80,0,0,0,0,0,0
Miracle,laconic1d89fdamp75nlez00dkm5yhwlv3hyl9xudnrcnh,610,400,0,40,50,0,0,40,0,0,0,0,0,0,0,80,0,0,0,0,0,0
Valkyrie,laconic1kgvpkyvdu6xqtnj7wty88tm6hevt8cpj709vhv,610,400,0,40,50,0,0,40,0,0,0,0,0,0,0,80,0,0,0,0,0,0
Noobitard,laconic1m880g6gce8kqdqrrv0mnl7w9tfaxyffxc05clw,610,400,0,40,50,0,0,40,0,0,0,0,0,0,0,80,0,0,0,0,0,0
dmvl,laconic1uqjsj90catptyv0zdkpey4xzs9umyt9x6ylpuk,610,400,0,40,50,0,0,40,0,0,0,0,0,0,0,80,0,0,0,0,0,0
BigJ,laconic1yq8c7a4mt05e6gr00fr4sdm5mnfg5q75np606f,610,400,0,40,50,0,0,40,0,0,0,0,0,0,0,80,0,0,0,0,0,0
TTD,laconic1h86cd7u5lh6e9ypcfl4nne7rac86sxl3rly7cm,570,400,0,40,50,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0
UwU,laconic1jjyzvt7adjjygznamya9gs0es5m6y5fxdwh2ss,570,400,0,40,50,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0
Weakhand,laconic10vxgzpk6qltu3qaj5k8k3cfjqq0ewc9w4rx3j0,490,400,0,40,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MTnode,laconic1nezjpcfflf8nc5yt2hx5yd20ry6ka066tth38w,490,400,0,40,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
azstake,laconic1r70vhqwvf7dw2twy6m77f34fzeshp9fqxtxace,490,400,0,40,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CyberG,laconic1xwwy9944lgu3djvgmk4l4x59x5cjzczcxuj9f5,479,400,0,40,5,0,32,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
polkachu.com,laconic1jt9w26mpxxjsk63mvd4m2ynj0af09cslxaxx7r,420,400,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nodes.Guru,laconic1092ltv0fdg6pqdm78cv3dt6zscqsrm5k5fqstc,400,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stake&Relax 🦥,laconic15z2hzhxwyuajk9c94h3wf26u3q2cl3xal6kv6d,400,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Piki,laconic17g6l6vhhc4384deu4v6ypxq27cn470hzu5njzt,400,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Deni13x,laconic1d0ty07edxs0en760llgqde4t7cpugeswyn0kxa,400,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IAmScRay,laconic1ha00usym89adazy7g44njer8mhcpxpzljghz2r,400,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DANGGIA,laconic1kkv020aj5z8es9shrylvlcjfextm2srg0085ml,400,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PathrockNetwork,laconic1qrss36gx7rx58uffn60lx99fr0d929566mpafj,400,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ksalab,laconic1s9wwlmapkvptwmdgus2vlxtwdwsehd5rcpmq2e,400,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tarabukinivan,laconic1wy7y65nxcvdjrrzl4wepe6dz7fh8rmgvjmrwmq,400,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-,laconic17yaq54gwyeyef3zfy3rtthlncsk7qwu53hz7cy,340,0,0,40,50,40,40,40,0,0,40,50,0,0,0,40,0,0,0,0,0,0
-,laconic1gxfd5zg2mux7zymv7d2y5m08qraq5q8etwxynh,338,0,0,40,50,40,40,40,0,0,38,50,0,0,0,40,0,0,0,0,0,0
-,laconic1g3dugtdlardfg28teljfzftzfeynjheae07ytr,320,0,0,40,50,40,40,40,40,0,40,0,0,0,0,30,0,0,0,0,0,0
-,laconic1s0gs30l3wq7fc6g2c4d0cnxhu9wx94llhhf4l9,300,0,0,40,50,40,40,40,0,0,40,50,0,0,0,0,0,0,0,0,0,0
-,laconic14yy6dwy7ed9778u4f4p8hlavss22ypumtxmdsn,260,0,0,40,50,40,40,40,0,0,0,50,0,0,0,0,0,0,0,0,0,0
-,laconic1mxzwgd0hk6wkpn4dh2g5kv8hyflww8u6xaffs7,260,0,0,40,50,40,40,40,0,0,0,50,0,0,0,0,0,0,0,0,0,0
Bean,laconic1gzlnrw89c8m4lcm8k8gc4ljnaan8gceramss3p,210,0,0,40,50,0,0,40,0,0,0,0,0,0,0,80,0,0,0,0,0,0
-,laconic1rcssfrp47s0xmg2vahshmf6zcaadqamjel2a7r,208,0,0,40,50,0,12,38,0,0,38,0,0,0,0,30,0,0,0,0,0,0
Mint,laconic158420c5azujuz5m07n22qe869we20a4czna62d,170,0,0,40,50,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0
Bitboom,laconic17jmz20079jl826v669necgh6cllk9x8aeduveh,170,0,0,40,50,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0
pump,laconic1hu5x653x3062s7snx5pvuzym8mth6zfyu8s99x,170,0,0,40,50,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0
-,laconic1j7mrlxech8qad2whzal6te73m4rsh59uwg0pdt,143,0,0,40,35,24,24,10,0,0,0,10,0,0,0,0,0,0,0,0,0,0
-,laconic15t9kahzjza50772k7s2j78f0ptndqfwvfgrgq9,138,0,0,24,10,22,12,10,40,0,0,20,0,0,0,0,0,0,0,0,0,0
-,laconic19w5x0ck6tlppcwn7hg2ww7kuhycsjw37fpwur9,138,0,0,8,10,40,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-,laconic12wrfzczt0qgknjv9nle4uczujpqxrkj7p4v9uj,110,0,0,40,50,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0
-,laconic17zcxj4fyaef42da7pk0ccqxz2a8fns5fxs2qlr,110,0,0,40,50,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0
-,laconic1aahpp8vknsq72vamrfgnn86m4ple5xqnd5dydz,110,0,0,40,50,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0
-,laconic1l7tc37faxf9knl9rxmkfzc26dchnrtzvderurf,110,0,0,40,50,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0
-,laconic122mal2jwd9x2vfxrpxtd9vdz85ksggeq0tlle5,100,0,0,40,50,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0
-,laconic1z3syuquq0gdhvhtjs75lcsrpplm79ycxjtdge6,100,0,0,40,50,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0
-,laconic1pepnj5z8nzd7c27trg56wt2p9yzya2g9paen39,94,0,0,24,10,40,2,12,0,6,0,0,0,0,0,0,0,0,0,0,0,0
-,laconic15y76s0ml2dfzef3y07x6hmcngtcaw59d8y2sls,82,0,0,12,50,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0
-,laconic1vwyxdndfv6e3gw0m9w06xah2m3x6qhznn9ypjx,80,0,0,4,30,6,8,2,0,0,0,30,0,0,0,0,0,0,0,0,0,0
-,laconic15mw2gkftx9qjv6qa7acdnl6rj9dc3ldeh39enl,74,0,0,40,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-,laconic18mrkvn2au2d7kawpdjdazn3l3lla4jv9jdfmdf,72,0,0,40,30,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-,laconic1qzwl52vns3gecngsh59y5yvg9a8m345dz2qv8x,66,0,0,40,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-,laconic1yavpc0fjk3ze33kfuuc5fra5x3nzs20ajhpef5,66,0,0,40,10,10,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-,laconic17njvfpqxv6nc6ky5yvkk5g2r35tlvkqk4x0as9,60,0,0,40,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0
-,laconic1hw5vr47nl4876nd728vcy4m44j57un67guldlv,60,0,0,40,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0
-,laconic1jeylpuu59d4a5qynj8xm99ssgmk7w5w95n6q00,60,0,0,40,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0
-,laconic1nthmxgdtf58mntuukz4r5v0ry6zctl2ve9aqpe,60,0,0,40,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0
-,laconic1ff55lvklhd2y3p56c70gkyjjdxr5srnyrtj253,51,0,0,16,5,8,8,4,0,0,0,10,0,0,0,0,0,0,0,0,0,0
-,laconic1w78xscjjjp4ygm7y0tkz5frqrhks5gw9r7hqqu,34,0,0,4,10,6,2,2,0,0,0,10,0,0,0,0,0,0,0,0,0,0
-,laconic10mrtxypx3rzamn46xezsjtfwat3yyjp9kyaf9t,33,0,0,8,5,6,2,2,0,0,0,10,0,0,0,0,0,0,0,0,0,0
-,laconic14dzwrzdfgln6z2vuu0jncvwjt2l7e4yl7slmjq,33,0,0,8,5,6,2,2,0,0,0,10,0,0,0,0,0,0,0,0,0,0
-,laconic1l70nl4xswhdv4vxfemnrqmpee8kzavst7w4k7a,29,0,0,4,5,6,2,2,0,0,0,10,0,0,0,0,0,0,0,0,0,0
-,laconic1p87hvu9szlc5ek4ggrk0yr9wfd9503h2z8j0f6,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-,laconic1krddttfs6qnrjxnaza85jnpnlx6jn2w0l2qha2,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
